store_id,store_code,store_name,channel,hc,region,province,mcp,isActive,createdAt,createdBy,updatedBy
52004464,2003,DMM_HDU_KMO - Hiep An,DMX,0,North,Hai Duong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004428,2056,DMM_AGI_CDO - Quoc Lo 91 (Nui Sam),DMX,0,Mekong,An Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004304,2061,DMM_BTH_HTN - Thuan Nam,DMX,0,South,Binh Thuan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52008050,2062,DMM_BTH_DLI - 397 Cach Mang Thang 8,DMX,0,South,Binh Thuan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004395,2066,DMM_BRV_VTA - 1622 Duong 30/4 (Eo Ong Tu),DMX,0,South,Ba Ria Vung Tau,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004416,2079,DMM_HPH_VBA - Vinh Bao,DMX,0,North,Hai Phong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004455,2084,DMM_DON_TNH - Bau Ham 2,DMX,0,South,Dong Nai,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004413,2086,DML_BTH_PTH - 364 Tran Hung Dao,DMX,0,South,Binh Thuan,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004348,2096,DML_QNI_CPH - 38 Tran Phu,DMX,0,North,Quang Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004425,2120,DMM_HDU_NGI - Dong Tam,DMX,0,North,Hai Duong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004469,2131,DMM_TNI_TCH - Tan Dong (Ka Tum),DMX,0,South,Tay Ninh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004612,2138,DMM_HCM_TDU - 584 Kha Van Can,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004429,2161,DMM_KGI_PQU - Ganh Dau,DMX,0,Mekong,Kien Giang,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52004562,2176,DMM_HCM_TDU - 1241 Nguyen Duy Trinh,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007307,5366,DMM_BTH_LGI - 625 Thong Nhat (La Gi),DMX,0,South,Binh Thuan,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007235,5371,DMM_LAN_DHO - Hoa Khanh Dong,DMX,0,Mekong,Long An,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007286,5382,DMM_VLO_VLO - Tran Dai Nghia (Phuong 4),DMX,0,Mekong,Vinh Long,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007326,5437,DMM_BLI_PLO - Phuoc Long 2 (Pho Sinh),DMX,0,Mekong,Bac Lieu,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007580,5683,DMM_BDU_DAN - 57 Nguyen Trai (Di An),DMX,0,South,Binh Duong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007401,5741,DMM_BDU_TAN - Binh Duc,DMX,0,South,Binh Duong,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007443,5755,DMM_TVI_TCA - Cau Quan,DMX,0,Mekong,Tra Vinh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007525,5916,DMM_HCM_GVA - 880 Le Duc Tho,DMX,0,South,Ho Chi Minh,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007581,5934,DML_DNA_LCH - 339 Ton Duc Thang,DMX,0,Central,Da Nang,Y,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007572,6003,DMM_VPH_YLA - Yen Lac,DMX,0,North,Vinh Phuc,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
52007638,6050,DMM_LAN_DHO - Duc Hoa Ha 2,DMX,0,Mekong,Long An,N,TRUE,2025-08-24T17:30:20.702Z,csv-import,csv-import
